AAA(t),AAA(t-1),AAA(t-2),deltaAAA(t),deltaAAA(t-1),AAp(t),AAp(t-1),AAp(t-2),deltaAAp(t),deltaAAp(t-1),AA(t),AA(t-1),AA(t-2),deltaAA(t),deltaAA(t-1),AAm(t),AAm(t-1),AAm(t-2),deltaAAm(t),deltaAAm(t-1),Ap(t),Ap(t-1),Ap(t-2),deltaAp(t),deltaAp(t-1),A(t),A(t-1),A(t-2),deltaA(t),deltaA(t-1),Am(t),Am(t-1),Am(t-2),deltaAm(t),deltaAm(t-1),volatility_t,volatility_t-1,delta_v
0.329,0.32,0.328,0.009,-0.008,0.359,0.35,0.348,0.009,0.002,0.389,0.38,0.388,0.009,-0.008,0.419,0.41,0.418,0.009,-0.008,0.609,0.6,0.598,0.009,0.002,0.869,0.86,0.868,0.009,-0.008,1.289,1.28,1.278,0.009,0.002,4.95,8.18,-3.23
0.32,0.328,0.326,-0.008,0.002,0.35,0.348,0.356,0.002,-0.008,0.38,0.388,0.386,-0.008,0.002,0.41,0.418,0.416,-0.008,0.002,0.6,0.598,0.606,0.002,-0.008,0.86,0.868,0.866,-0.008,0.002,1.28,1.278,1.286,0.002,-0.008,8.18,-7.26,15.44
0.328,0.326,0.323,0.002,0.003,0.348,0.356,0.353,-0.008,0.003,0.388,0.386,0.383,0.002,0.003,0.418,0.416,0.413,0.002,0.003,0.598,0.606,0.603,-0.008,0.003,0.868,0.866,0.863,0.002,0.003,1.278,1.286,1.283,-0.008,0.003,-7.26,19.74,-27
0.326,0.323,0.335,0.003,-0.012,0.356,0.353,0.355,0.003,-0.002,0.386,0.383,0.395,0.003,-0.012,0.416,0.413,0.425,0.003,-0.012,0.606,0.603,0.605,0.003,-0.002,0.866,0.863,0.875,0.003,-0.012,1.286,1.283,1.285,0.003,-0.002,19.74,7.07,12.67
0.323,0.335,0.325,-0.012,0.01,0.353,0.355,0.345,-0.002,0.01,0.383,0.395,0.385,-0.012,0.01,0.413,0.425,0.415,-0.012,0.01,0.603,0.605,0.595,-0.002,0.01,0.863,0.875,0.865,-0.012,0.01,1.283,1.285,1.275,-0.002,0.01,7.07,-0.83,7.9
0.335,0.325,0.317,0.01,0.008,0.355,0.345,0.337,0.01,0.008,0.395,0.385,0.377,0.01,0.008,0.425,0.415,0.407,0.01,0.008,0.605,0.595,0.587,0.01,0.008,0.875,0.865,0.857,0.01,0.008,1.285,1.275,1.267,0.01,0.008,-0.83,5.65,-6.48
0.325,0.317,0.324,0.008,-0.007,0.345,0.337,0.354,0.008,-0.017,0.385,0.377,0.384,0.008,-0.007,0.415,0.407,0.414,0.008,-0.007,0.595,0.587,0.604,0.008,-0.017,0.865,0.857,0.864,0.008,-0.007,1.275,1.267,1.284,0.008,-0.017,5.65,0.29,5.36
0.317,0.324,0.329,-0.007,-0.005,0.337,0.354,0.349,-0.017,0.005,0.377,0.384,0.389,-0.007,-0.005,0.407,0.414,0.419,-0.007,-0.005,0.587,0.604,0.599,-0.017,0.005,0.857,0.864,0.869,-0.007,-0.005,1.267,1.284,1.279,-0.017,0.005,0.29,0.15,0.14
0.324,0.329,0.334,-0.005,-0.005,0.354,0.349,0.354,0.005,-0.005,0.384,0.389,0.394,-0.005,-0.005,0.414,0.419,0.424,-0.005,-0.005,0.604,0.599,0.604,0.005,-0.005,0.864,0.869,0.874,-0.005,-0.005,1.284,1.279,1.284,0.005,-0.005,0.15,1.57,-1.42
0.329,0.334,0.332,-0.005,0.002,0.349,0.354,0.352,-0.005,0.002,0.389,0.394,0.382,-0.005,0.012,0.419,0.424,0.412,-0.005,0.012,0.599,0.604,0.602,-0.005,0.002,0.869,0.874,0.862,-0.005,0.012,1.279,1.284,1.282,-0.005,0.002,1.57,-0.3,1.87
0.334,0.332,0.335,0.002,-0.003,0.354,0.352,0.355,0.002,-0.003,0.394,0.382,0.385,0.012,-0.003,0.424,0.412,0.415,0.012,-0.003,0.604,0.602,0.605,0.002,-0.003,0.874,0.862,0.865,0.012,-0.003,1.284,1.282,1.285,0.002,-0.003,-0.3,1.13,-1.43
0.332,0.335,0.334,-0.003,0.001,0.352,0.355,0.364,-0.003,-0.009,0.382,0.385,0.394,-0.003,-0.009,0.412,0.415,0.424,-0.003,-0.009,0.602,0.605,0.614,-0.003,-0.009,0.862,0.865,0.874,-0.003,-0.009,1.282,1.285,1.294,-0.003,-0.009,1.13,3.51,-2.38
0.335,0.334,0.347,0.001,-0.013,0.355,0.364,0.367,-0.009,-0.003,0.385,0.394,0.407,-0.009,-0.013,0.415,0.424,0.437,-0.009,-0.013,0.605,0.614,0.617,-0.009,-0.003,0.865,0.874,0.887,-0.009,-0.013,1.285,1.294,1.297,-0.009,-0.003,3.51,-5.67,9.18
0.334,0.347,0.349,-0.013,-0.002,0.364,0.367,0.369,-0.003,-0.002,0.394,0.407,0.409,-0.013,-0.002,0.424,0.437,0.439,-0.013,-0.002,0.614,0.617,0.619,-0.003,-0.002,0.874,0.887,0.889,-0.013,-0.002,1.294,1.297,1.299,-0.003,-0.002,-5.67,-14.97,9.3
0.347,0.349,0.343,-0.002,0.006,0.367,0.369,0.373,-0.002,-0.004,0.407,0.409,0.403,-0.002,0.006,0.437,0.439,0.433,-0.002,0.006,0.617,0.619,0.623,-0.002,-0.004,0.887,0.889,0.883,-0.002,0.006,1.297,1.299,1.303,-0.002,-0.004,-14.97,5.9,-20.87
0.349,0.343,0.34,0.006,0.003,0.369,0.373,0.37,-0.004,0.003,0.409,0.403,0.4,0.006,0.003,0.439,0.433,0.43,0.006,0.003,0.619,0.623,0.62,-0.004,0.003,0.889,0.883,0.88,0.006,0.003,1.299,1.303,1.3,-0.004,0.003,5.9,5.04,0.86
0.343,0.34,0.343,0.003,-0.003,0.373,0.37,0.363,0.003,0.007,0.403,0.4,0.403,0.003,-0.003,0.433,0.43,0.433,0.003,-0.003,0.623,0.62,0.613,0.003,0.007,0.883,0.88,0.883,0.003,-0.003,1.303,1.3,1.293,0.003,0.007,5.04,0,5.04
0.34,0.343,0.34,-0.003,0.003,0.37,0.363,0.36,0.007,0.003,0.4,0.403,0.4,-0.003,0.003,0.43,0.433,0.43,-0.003,0.003,0.62,0.613,0.61,0.007,0.003,0.88,0.883,0.88,-0.003,0.003,1.3,1.293,1.29,0.007,0.003,0,3.13,-3.13
0.343,0.34,0.35,0.003,-0.01,0.363,0.36,0.37,0.003,-0.01,0.403,0.4,0.4,0.003,0,0.433,0.43,0.43,0.003,0,0.613,0.61,0.62,0.003,-0.01,0.883,0.88,0.88,0.003,0,1.293,1.29,1.3,0.003,-0.01,3.13,3.96,-0.83
0.34,0.35,0.343,-0.01,0.007,0.36,0.37,0.363,-0.01,0.007,0.4,0.4,0.403,0,-0.003,0.43,0.43,0.433,0,-0.003,0.61,0.62,0.613,-0.01,0.007,0.88,0.88,0.883,0,-0.003,1.29,1.3,1.293,-0.01,0.007,3.96,0.14,3.82
0.35,0.343,0.35,0.007,-0.007,0.37,0.363,0.37,0.007,-0.007,0.4,0.403,0.4,-0.003,0.003,0.43,0.433,0.43,-0.003,0.003,0.62,0.613,0.62,0.007,-0.007,0.88,0.883,0.88,-0.003,0.003,1.3,1.293,1.3,0.007,-0.007,0.14,2.46,-2.32
0.343,0.35,0.34,-0.007,0.01,0.363,0.37,0.36,-0.007,0.01,0.403,0.4,0.4,0.003,0,0.433,0.43,0.43,0.003,0,0.613,0.62,0.62,-0.007,0,0.883,0.88,0.88,0.003,0,1.293,1.3,1.3,-0.007,0,2.46,-1.15,3.61
0.35,0.34,0.338,0.01,0.002,0.37,0.36,0.358,0.01,0.002,0.4,0.4,0.398,0,0.002,0.43,0.43,0.428,0,0.002,0.62,0.62,0.618,0,0.002,0.88,0.88,0.878,0,0.002,1.3,1.3,1.298,0,0.002,-1.15,6.8,-7.95
0.34,0.338,0.347,0.002,-0.009,0.36,0.358,0.367,0.002,-0.009,0.4,0.398,0.407,0.002,-0.009,0.43,0.428,0.427,0.002,0.001,0.62,0.618,0.617,0.002,0.001,0.88,0.878,0.877,0.002,0.001,1.3,1.298,1.297,0.002,0.001,6.8,-0.19,6.99
0.338,0.347,0.353,-0.009,-0.006,0.358,0.367,0.373,-0.009,-0.006,0.398,0.407,0.413,-0.009,-0.006,0.428,0.427,0.443,0.001,-0.016,0.618,0.617,0.623,0.001,-0.006,0.878,0.877,0.883,0.001,-0.006,1.298,1.297,1.303,0.001,-0.006,-0.19,1.46,-1.65
0.347,0.353,0.347,-0.006,0.006,0.367,0.373,0.377,-0.006,-0.004,0.407,0.413,0.417,-0.006,-0.004,0.427,0.443,0.447,-0.016,-0.004,0.617,0.623,0.617,-0.006,0.006,0.877,0.883,0.877,-0.006,0.006,1.297,1.303,1.297,-0.006,0.006,1.46,-0.31,1.77
0.353,0.347,0.351,0.006,-0.004,0.373,0.377,0.381,-0.004,-0.004,0.413,0.417,0.411,-0.004,0.006,0.443,0.447,0.441,-0.004,0.006,0.623,0.617,0.621,0.006,-0.004,0.883,0.877,0.881,0.006,-0.004,1.303,1.297,1.301,0.006,-0.004,-0.31,0.166,-0.476
0.347,0.351,0.358,-0.004,-0.007,0.377,0.381,0.378,-0.004,0.003,0.417,0.411,0.418,0.006,-0.007,0.447,0.441,0.448,0.006,-0.007,0.617,0.621,0.618,-0.004,0.003,0.877,0.881,0.878,-0.004,0.003,1.297,1.301,1.298,-0.004,0.003,0.166,1.14,-0.974
0.351,0.358,0.358,-0.007,0,0.381,0.378,0.388,0.003,-0.01,0.411,0.418,0.418,-0.007,0,0.441,0.448,0.448,-0.007,0,0.621,0.618,0.618,0.003,0,0.881,0.878,0.888,0.003,-0.01,1.301,1.298,1.298,0.003,0,1.14,-2.02,3.16
0.358,0.358,0.359,0,-0.001,0.378,0.388,0.389,-0.01,-0.001,0.418,0.418,0.419,0,-0.001,0.448,0.448,0.449,0,-0.001,0.618,0.618,0.619,0,-0.001,0.878,0.888,0.889,-0.01,-0.001,1.298,1.298,1.299,0,-0.001,-2.02,-0.07,-1.95
0.358,0.359,0.36,-0.001,-0.001,0.388,0.389,0.38,-0.001,0.009,0.418,0.419,0.42,-0.001,-0.001,0.448,0.449,0.45,-0.001,-0.001,0.618,0.619,0.62,-0.001,-0.001,0.888,0.889,0.88,-0.001,0.009,1.298,1.299,1.3,-0.001,-0.001,-0.07,0.53,-0.6
0.359,0.36,0.328,-0.001,0.032,0.389,0.38,0.348,0.009,0.032,0.419,0.42,0.388,-0.001,0.032,0.449,0.45,0.428,-0.001,0.022,0.619,0.62,0.588,-0.001,0.032,0.889,0.88,0.848,0.009,0.032,1.299,1.3,1.268,-0.001,0.032,0.53,-2.06,2.59
0.36,0.328,0.33,0.032,-0.002,0.38,0.348,0.36,0.032,-0.012,0.42,0.388,0.39,0.032,-0.002,0.45,0.428,0.42,0.022,0.008,0.62,0.588,0.59,0.032,-0.002,0.88,0.848,0.86,0.032,-0.012,1.3,1.268,1.27,0.032,-0.002,-2.06,-2.16,0.1
0.328,0.33,0.327,-0.002,0.003,0.348,0.36,0.357,-0.012,0.003,0.388,0.39,0.387,-0.002,0.003,0.428,0.42,0.417,0.008,0.003,0.588,0.59,0.587,-0.002,0.003,0.848,0.86,0.857,-0.012,0.003,1.268,1.27,1.267,-0.002,0.003,-2.16,-4.4,2.24
0.33,0.327,0.324,0.003,0.003,0.36,0.357,0.354,0.003,0.003,0.39,0.387,0.384,0.003,0.003,0.42,0.417,0.414,0.003,0.003,0.59,0.587,0.594,0.003,-0.007,0.86,0.857,0.854,0.003,0.003,1.27,1.267,1.274,0.003,-0.007,-4.4,1.25,-5.65
0.327,0.324,0.32,0.003,0.004,0.357,0.354,0.35,0.003,0.004,0.387,0.384,0.39,0.003,-0.006,0.417,0.414,0.42,0.003,-0.006,0.587,0.594,0.59,-0.007,0.004,0.857,0.854,0.85,0.003,0.004,1.267,1.274,1.27,-0.007,0.004,1.25,0.77,0.48
0.324,0.32,0.335,0.004,-0.015,0.354,0.35,0.365,0.004,-0.015,0.384,0.39,0.395,-0.006,-0.005,0.414,0.42,0.425,-0.006,-0.005,0.594,0.59,0.595,0.004,-0.005,0.854,0.85,0.865,0.004,-0.015,1.274,1.27,1.275,0.004,-0.005,0.77,2.15,-1.38
0.32,0.335,0.325,-0.015,0.01,0.35,0.365,0.355,-0.015,0.01,0.39,0.395,0.395,-0.005,0,0.42,0.425,0.425,-0.005,0,0.59,0.595,0.595,-0.005,0,0.85,0.865,0.855,-0.015,0.01,1.27,1.275,1.275,-0.005,0,2.15,0,2.15
0.335,0.325,0.32,0.01,0.005,0.365,0.355,0.35,0.01,0.005,0.395,0.395,0.39,0,0.005,0.425,0.425,0.42,0,0.005,0.595,0.595,0.59,0,0.005,0.865,0.855,0.85,0.01,0.005,1.275,1.275,1.27,0,0.005,0,1.38,-1.38
0.325,0.32,0.314,0.005,0.006,0.355,0.35,0.344,0.005,0.006,0.395,0.39,0.384,0.005,0.006,0.425,0.42,0.414,0.005,0.006,0.595,0.59,0.584,0.005,0.006,0.855,0.85,0.844,0.005,0.006,1.275,1.27,1.264,0.005,0.006,1.38,-0.58,1.96
0.32,0.314,0.315,0.006,-0.001,0.35,0.344,0.345,0.006,-0.001,0.39,0.384,0.375,0.006,0.009,0.42,0.414,0.405,0.006,0.009,0.59,0.584,0.585,0.006,-0.001,0.85,0.844,0.845,0.006,-0.001,1.27,1.264,1.265,0.006,-0.001,-0.58,-2.53,1.95
0.314,0.315,0.315,-0.001,0,0.344,0.345,0.345,-0.001,0,0.384,0.375,0.385,0.009,-0.01,0.414,0.405,0.415,0.009,-0.01,0.584,0.585,0.585,-0.001,0,0.844,0.845,0.845,-0.001,0,1.264,1.265,1.265,-0.001,0,-2.53,2.16,-4.69
0.315,0.315,0.324,0,-0.009,0.345,0.345,0.354,0,-0.009,0.375,0.385,0.384,-0.01,0.001,0.405,0.415,0.414,-0.01,0.001,0.585,0.585,0.584,0,0.001,0.845,0.845,0.854,0,-0.009,1.265,1.265,1.264,0,0.001,2.16,0.22,1.94
0.315,0.324,0.328,-0.009,-0.004,0.345,0.354,0.358,-0.009,-0.004,0.385,0.384,0.388,0.001,-0.004,0.415,0.414,0.418,0.001,-0.004,0.585,0.584,0.598,0.001,-0.014,0.845,0.854,0.858,-0.009,-0.004,1.265,1.264,1.278,0.001,-0.014,0.22,-4.41,4.63
0.324,0.328,0.31,-0.004,0.018,0.354,0.358,0.34,-0.004,0.018,0.384,0.388,0.38,-0.004,0.008,0.414,0.418,0.41,-0.004,0.008,0.584,0.598,0.58,-0.014,0.018,0.854,0.858,0.84,-0.004,0.018,1.264,1.278,1.26,-0.014,0.018,-4.41,2.91,-7.32
0.328,0.31,0.315,0.018,-0.005,0.358,0.34,0.345,0.018,-0.005,0.388,0.38,0.385,0.008,-0.005,0.418,0.41,0.415,0.008,-0.005,0.598,0.58,0.585,0.018,-0.005,0.858,0.84,0.845,0.018,-0.005,1.278,1.26,1.265,0.018,-0.005,2.91,4.36,-1.45
0.31,0.315,0.322,-0.005,-0.007,0.34,0.345,0.352,-0.005,-0.007,0.38,0.385,0.382,-0.005,0.003,0.41,0.415,0.412,-0.005,0.003,0.58,0.585,0.592,-0.005,-0.007,0.84,0.845,0.852,-0.005,-0.007,1.26,1.265,1.272,-0.005,-0.007,4.36,1.35,3.01
0.315,0.322,0.317,-0.007,0.005,0.345,0.352,0.337,-0.007,0.015,0.385,0.382,0.387,0.003,-0.005,0.415,0.412,0.417,0.003,-0.005,0.585,0.592,0.587,-0.007,0.005,0.845,0.852,0.847,-0.007,0.005,1.265,1.272,1.267,-0.007,0.005,1.35,1.75,-0.4
0.322,0.317,0.315,0.005,0.002,0.352,0.337,0.345,0.015,-0.008,0.382,0.387,0.385,-0.005,0.002,0.412,0.417,0.405,-0.005,0.012,0.592,0.587,0.585,0.005,0.002,0.852,0.847,0.845,0.005,0.002,1.272,1.267,1.265,0.005,0.002,1.75,-2.31,4.06
0.317,0.315,0.31,0.002,0.005,0.337,0.345,0.34,-0.008,0.005,0.387,0.385,0.29,0.002,0.095,0.417,0.405,0.4,0.012,0.005,0.587,0.585,0.58,0.002,0.005,0.847,0.845,0.84,0.002,0.005,1.267,1.265,1.26,0.002,0.005,-2.31,-3.1,0.79
0.315,0.31,0.306,0.005,0.004,0.345,0.34,0.336,0.005,0.004,0.385,0.29,0.376,0.095,-0.086,0.405,0.4,0.396,0.005,0.004,0.585,0.58,0.576,0.005,0.004,0.845,0.84,0.836,0.005,0.004,1.265,1.26,1.256,0.005,0.004,-3.1,1.47,-4.57
0.31,0.306,0.32,0.004,-0.014,0.34,0.336,0.35,0.004,-0.014,0.29,0.376,0.39,-0.086,-0.014,0.4,0.396,0.42,0.004,-0.024,0.58,0.576,0.59,0.004,-0.014,0.84,0.836,0.85,0.004,-0.014,1.26,1.256,1.27,0.004,-0.014,1.47,-3.94,5.41
0.306,0.32,0.312,-0.014,0.008,0.336,0.35,0.342,-0.014,0.008,0.376,0.39,0.382,-0.014,0.008,0.396,0.42,0.412,-0.024,0.008,0.576,0.59,0.582,-0.014,0.008,0.836,0.85,0.842,-0.014,0.008,1.256,1.27,1.262,-0.014,0.008,-3.94,3.05,-6.99
0.32,0.312,0.329,0.008,-0.017,0.35,0.342,0.359,0.008,-0.017,0.39,0.382,0.389,0.008,-0.007,0.42,0.412,0.419,0.008,-0.007,0.59,0.582,0.599,0.008,-0.017,0.85,0.842,0.859,0.008,-0.017,1.27,1.262,1.279,0.008,-0.017,3.05,0.07,2.98
0.312,0.329,0.31,-0.017,0.019,0.342,0.359,0.34,-0.017,0.019,0.382,0.389,0.37,-0.007,0.019,0.412,0.419,0.4,-0.007,0.019,0.582,0.599,0.58,-0.017,0.019,0.842,0.859,0.84,-0.017,0.019,1.262,1.279,1.26,-0.017,0.019,0.07,-0.79,0.86
0.329,0.31,0.318,0.019,-0.008,0.359,0.34,0.348,0.019,-0.008,0.389,0.37,0.378,0.019,-0.008,0.419,0.4,0.408,0.019,-0.008,0.599,0.58,0.588,0.019,-0.008,0.859,0.84,0.848,0.019,-0.008,1.279,1.26,1.268,0.019,-0.008,-0.79,3.5,-4.29
0.31,0.318,0.33,-0.008,-0.012,0.34,0.348,0.35,-0.008,-0.002,0.37,0.378,0.39,-0.008,-0.012,0.4,0.408,0.42,-0.008,-0.012,0.58,0.588,0.59,-0.008,-0.002,0.84,0.848,0.86,-0.008,-0.012,1.26,1.268,1.27,-0.008,-0.002,3.5,0.75,2.75
0.318,0.33,0.333,-0.012,-0.003,0.348,0.35,0.353,-0.002,-0.003,0.378,0.39,0.393,-0.012,-0.003,0.408,0.42,0.423,-0.012,-0.003,0.588,0.59,0.593,-0.002,-0.003,0.848,0.86,0.863,-0.012,-0.003,1.268,1.27,1.273,-0.002,-0.003,0.75,0.76,-0.01
0.33,0.333,0.314,-0.003,0.019,0.35,0.353,0.344,-0.003,0.009,0.39,0.393,0.384,-0.003,0.009,0.42,0.423,0.404,-0.003,0.019,0.59,0.593,0.584,-0.003,0.009,0.86,0.863,0.844,-0.003,0.019,1.27,1.273,1.264,-0.003,0.009,0.76,-2.72,3.48
0.333,0.314,0.309,0.019,0.005,0.353,0.344,0.329,0.009,0.015,0.393,0.384,0.369,0.009,0.015,0.423,0.404,0.399,0.019,0.005,0.593,0.584,0.569,0.009,0.015,0.863,0.844,0.839,0.019,0.005,1.273,1.264,1.249,0.009,0.015,-2.72,-1.88,-0.84
0.314,0.309,0.311,0.005,-0.002,0.344,0.329,0.331,0.015,-0.002,0.384,0.369,0.371,0.015,-0.002,0.404,0.399,0.401,0.005,-0.002,0.584,0.569,0.571,0.015,-0.002,0.844,0.839,0.841,0.005,-0.002,1.264,1.249,1.251,0.015,-0.002,-1.88,2.74,-4.62
0.309,0.311,0.327,-0.002,-0.016,0.329,0.331,0.357,-0.002,-0.026,0.369,0.371,0.387,-0.002,-0.016,0.399,0.401,0.417,-0.002,-0.016,0.569,0.571,0.597,-0.002,-0.026,0.839,0.841,0.857,-0.002,-0.016,1.249,1.251,1.277,-0.002,-0.026,2.74,-1.17,3.91
0.311,0.327,0.325,-0.016,0.002,0.331,0.357,0.355,-0.026,0.002,0.371,0.387,0.395,-0.016,-0.008,0.401,0.417,0.425,-0.016,-0.008,0.571,0.597,0.595,-0.026,0.002,0.841,0.857,0.855,-0.016,0.002,1.251,1.277,1.275,-0.026,0.002,-1.17,1.64,-2.81
0.327,0.325,0.324,0.002,0.001,0.357,0.355,0.354,0.002,0.001,0.387,0.395,0.394,-0.008,0.001,0.417,0.425,0.414,-0.008,0.011,0.597,0.595,0.584,0.002,0.011,0.857,0.855,0.854,0.002,0.001,1.277,1.275,1.264,0.002,0.011,1.64,1.67,-0.03
0.325,0.324,0.312,0.001,0.012,0.355,0.354,0.342,0.001,0.012,0.395,0.394,0.382,0.001,0.012,0.425,0.414,0.412,0.011,0.002,0.595,0.584,0.582,0.011,0.002,0.855,0.854,0.842,0.001,0.012,1.275,1.264,1.262,0.011,0.002,1.67,-0.15,1.82
0.324,0.312,0.311,0.012,0.001,0.354,0.342,0.351,0.012,-0.009,0.394,0.382,0.381,0.012,0.001,0.414,0.412,0.411,0.002,0.001,0.584,0.582,0.581,0.002,0.001,0.854,0.842,0.841,0.012,0.001,1.264,1.262,1.261,0.002,0.001,-0.15,0.99,-1.14
0.312,0.311,0.332,0.001,-0.021,0.342,0.351,0.362,-0.009,-0.011,0.382,0.381,0.402,0.001,-0.021,0.412,0.411,0.422,0.001,-0.011,0.582,0.581,0.592,0.001,-0.011,0.842,0.841,0.862,0.001,-0.021,1.262,1.261,1.272,0.001,-0.011,0.99,-5.42,6.41
0.311,0.332,0.325,-0.021,0.007,0.351,0.362,0.355,-0.011,0.007,0.381,0.402,0.395,-0.021,0.007,0.411,0.422,0.425,-0.011,-0.003,0.581,0.592,0.595,-0.011,-0.003,0.841,0.862,0.855,-0.021,0.007,1.261,1.272,1.275,-0.011,-0.003,-5.42,-0.07,-5.35
0.332,0.325,0.325,0.007,0,0.362,0.355,0.365,0.007,-0.01,0.402,0.395,0.395,0.007,0,0.422,0.425,0.425,-0.003,0,0.592,0.595,0.595,-0.003,0,0.862,0.855,0.855,0.007,0,1.272,1.275,1.275,-0.003,0,-0.07,3.82,-3.89
0.325,0.325,0.33,0,-0.005,0.355,0.365,0.36,-0.01,0.005,0.395,0.395,0.4,0,-0.005,0.425,0.425,0.43,0,-0.005,0.595,0.595,0.6,0,-0.005,0.855,0.855,0.86,0,-0.005,1.275,1.275,1.28,0,-0.005,3.82,0.53,3.29
0.325,0.33,0.329,-0.005,0.001,0.365,0.36,0.369,0.005,-0.009,0.395,0.4,0.399,-0.005,0.001,0.425,0.43,0.429,-0.005,0.001,0.595,0.6,0.599,-0.005,0.001,0.855,0.86,0.859,-0.005,0.001,1.275,1.28,1.279,-0.005,0.001,0.53,-3.84,4.37
0.33,0.329,0.329,0.001,0,0.36,0.369,0.359,-0.009,0.01,0.4,0.399,0.399,0.001,0,0.43,0.429,0.429,0.001,0,0.6,0.599,0.599,0.001,0,0.86,0.859,0.859,0.001,0,1.28,1.279,1.279,0.001,0,-3.84,-3.5,-0.34
0.329,0.329,0.319,0,0.01,0.369,0.359,0.359,0.01,0,0.399,0.399,0.389,0,0.01,0.429,0.429,0.419,0,0.01,0.599,0.599,0.589,0,0.01,0.859,0.859,0.849,0,0.01,1.279,1.279,1.269,0,0.01,-3.5,-3.64,0.14
0.329,0.319,0.324,0.01,-0.005,0.359,0.359,0.364,0,-0.005,0.399,0.389,0.394,0.01,-0.005,0.429,0.419,0.424,0.01,-0.005,0.599,0.589,0.594,0.01,-0.005,0.859,0.849,0.854,0.01,-0.005,1.279,1.269,1.274,0.01,-0.005,-3.64,-5.05,1.41
