AAA(t),AAA(t-1),AAA(t-2),deltaAAA(t),deltaAAA(t-1),AAp(t),AAp(t-1),AAp(t-2),deltaAAp(t),deltaAAp(t-1),AA(t),AA(t-1),AA(t-2),deltaAA(t),deltaAA(t-1),AAm(t),AAm(t-1),AAm(t-2),deltaAAm(t),deltaAAm(t-1),Ap(t),Ap(t-1),Ap(t-2),deltaAp(t),deltaAp(t-1),A(t),A(t-1),A(t-2),deltaA(t),deltaA(t-1),Am(t),Am(t-1),Am(t-2),deltaAm(t),deltaAm(t-1),volatility_t,volatility_t-1,delta_v
0.319,0.324,0.326,-0.005,-0.002,0.359,0.364,0.356,-0.005,0.008,0.389,0.394,0.396,-0.005,-0.002,0.419,0.424,0.426,-0.005,-0.002,0.589,0.594,0.596,-0.005,-0.002,0.849,0.854,0.856,-0.005,-0.002,1.269,1.274,1.276,-0.005,-0.002,-5.05,1.69,-6.74
0.324,0.326,0.338,-0.002,-0.012,0.364,0.356,0.368,0.008,-0.012,0.394,0.396,0.408,-0.002,-0.012,0.424,0.426,0.428,-0.002,-0.002,0.594,0.596,0.598,-0.002,-0.002,0.854,0.856,0.868,-0.002,-0.012,1.274,1.276,1.278,-0.002,-0.002,1.69,-5.42,7.11
0.326,0.338,0.33,-0.012,0.008,0.356,0.368,0.36,-0.012,0.008,0.396,0.408,0.4,-0.012,0.008,0.426,0.428,0.42,-0.002,0.008,0.596,0.598,0.59,-0.002,0.008,0.856,0.868,0.86,-0.012,0.008,1.276,1.278,1.27,-0.002,0.008,-5.42,-0.37,-5.05
0.338,0.33,0.327,0.008,0.003,0.368,0.36,0.357,0.008,0.003,0.408,0.4,0.397,0.008,0.003,0.428,0.42,0.417,0.008,0.003,0.598,0.59,0.587,0.008,0.003,0.868,0.86,0.857,0.008,0.003,1.278,1.27,1.267,0.008,0.003,-0.37,2.84,-3.21
0.33,0.327,0.327,0.003,0,0.36,0.357,0.357,0.003,0,0.4,0.397,0.397,0.003,0,0.42,0.417,0.417,0.003,0,0.59,0.587,0.587,0.003,0,0.86,0.857,0.857,0.003,0,1.27,1.267,1.267,0.003,0,2.84,6.51,-3.67
0.327,0.327,0.333,0,-0.006,0.357,0.357,0.363,0,-0.006,0.397,0.397,0.403,0,-0.006,0.417,0.417,0.423,0,-0.006,0.587,0.587,0.593,0,-0.006,0.857,0.857,0.863,0,-0.006,1.267,1.267,1.273,0,-0.006,6.51,-1.72,8.23
0.327,0.333,0.329,-0.006,0.004,0.357,0.363,0.359,-0.006,0.004,0.397,0.403,0.399,-0.006,0.004,0.417,0.423,0.429,-0.006,-0.006,0.587,0.593,0.599,-0.006,-0.006,0.857,0.863,0.859,-0.006,0.004,1.267,1.273,1.279,-0.006,-0.006,-1.72,2.02,-3.74
0.333,0.329,0.329,0.004,0,0.363,0.359,0.359,0.004,0,0.403,0.399,0.399,0.004,0,0.423,0.429,0.429,-0.006,0,0.593,0.599,0.599,-0.006,0,0.863,0.859,0.859,0.004,0,1.273,1.279,1.279,-0.006,0,2.02,-1.39,3.41
0.329,0.329,0.326,0,0.003,0.359,0.359,0.366,0,-0.007,0.399,0.399,0.396,0,0.003,0.429,0.429,0.426,0,0.003,0.599,0.599,0.596,0,0.003,0.859,0.859,0.856,0,0.003,1.279,1.279,1.276,0,0.003,-1.39,-3.59,2.2
0.329,0.326,0.325,0.003,0.001,0.359,0.366,0.365,-0.007,0.001,0.399,0.396,0.395,0.003,0.001,0.429,0.426,0.425,0.003,0.001,0.599,0.596,0.595,0.003,0.001,0.859,0.856,0.855,0.003,0.001,1.279,1.276,1.275,0.003,0.001,-3.59,6.33,-9.92
0.326,0.325,0.329,0.001,-0.004,0.366,0.365,0.369,0.001,-0.004,0.396,0.395,0.399,0.001,-0.004,0.426,0.425,0.429,0.001,-0.004,0.596,0.595,0.599,0.001,-0.004,0.856,0.855,0.859,0.001,-0.004,1.276,1.275,1.279,0.001,-0.004,6.33,-0.07,6.4
0.325,0.329,0.328,-0.004,0.001,0.365,0.369,0.358,-0.004,0.011,0.395,0.399,0.398,-0.004,0.001,0.425,0.429,0.428,-0.004,0.001,0.595,0.599,0.588,-0.004,0.011,0.855,0.859,0.848,-0.004,0.011,1.275,1.279,1.268,-0.004,0.011,-0.07,4.4,-4.47
0.329,0.328,0.331,0.001,-0.003,0.369,0.358,0.361,0.011,-0.003,0.399,0.398,0.401,0.001,-0.003,0.429,0.428,0.431,0.001,-0.003,0.599,0.588,0.591,0.011,-0.003,0.859,0.848,0.851,0.011,-0.003,1.279,1.268,1.271,0.011,-0.003,4.4,-1.26,5.66
0.328,0.331,0.321,-0.003,0.01,0.358,0.361,0.361,-0.003,0,0.398,0.401,0.391,-0.003,0.01,0.428,0.431,0.421,-0.003,0.01,0.588,0.591,0.581,-0.003,0.01,0.848,0.851,0.851,-0.003,0,1.268,1.271,1.261,-0.003,0.01,-1.26,-3.39,2.13
0.331,0.321,0.325,0.01,-0.004,0.361,0.361,0.365,0,-0.004,0.401,0.391,0.395,0.01,-0.004,0.431,0.421,0.425,0.01,-0.004,0.591,0.581,0.585,0.01,-0.004,0.851,0.851,0.845,0,0.006,1.271,1.261,1.265,0.01,-0.004,-3.39,0.89,-4.28
0.321,0.325,0.322,-0.004,0.003,0.361,0.365,0.352,-0.004,0.013,0.391,0.395,0.392,-0.004,0.003,0.421,0.425,0.422,-0.004,0.003,0.581,0.585,0.582,-0.004,0.003,0.851,0.845,0.842,0.006,0.003,1.261,1.265,1.262,-0.004,0.003,0.89,1.53,-0.64
0.325,0.322,0.332,0.003,-0.01,0.365,0.352,0.362,0.013,-0.01,0.395,0.392,0.402,0.003,-0.01,0.425,0.422,0.432,0.003,-0.01,0.585,0.582,0.592,0.003,-0.01,0.845,0.842,0.852,0.003,-0.01,1.265,1.262,1.272,0.003,-0.01,1.53,6.74,-5.21
0.322,0.332,0.318,-0.01,0.014,0.352,0.362,0.348,-0.01,0.014,0.392,0.402,0.378,-0.01,0.024,0.422,0.432,0.408,-0.01,0.024,0.582,0.592,0.578,-0.01,0.014,0.842,0.852,0.838,-0.01,0.014,1.262,1.272,1.258,-0.01,0.014,6.74,0.52,6.22
0.332,0.318,0.315,0.014,0.003,0.362,0.348,0.345,0.014,0.003,0.402,0.378,0.385,0.024,-0.007,0.432,0.408,0.415,0.024,-0.007,0.592,0.578,0.575,0.014,0.003,0.852,0.838,0.835,0.014,0.003,1.272,1.258,1.255,0.014,0.003,0.52,-6.54,7.06
0.318,0.315,0.315,0.003,0,0.348,0.345,0.355,0.003,-0.01,0.378,0.385,0.385,-0.007,0,0.408,0.415,0.415,-0.007,0,0.578,0.575,0.585,0.003,-0.01,0.838,0.835,0.845,0.003,-0.01,1.258,1.255,1.265,0.003,-0.01,-6.54,-1.17,-5.37
0.315,0.315,0.301,0,0.014,0.345,0.355,0.331,-0.01,0.024,0.385,0.385,0.371,0,0.014,0.415,0.415,0.401,0,0.014,0.575,0.585,0.561,-0.01,0.024,0.835,0.845,0.831,-0.01,0.014,1.255,1.265,1.241,-0.01,0.024,-1.17,-3.52,2.35
0.315,0.301,0.289,0.014,0.012,0.355,0.331,0.319,0.024,0.012,0.385,0.371,0.359,0.014,0.012,0.415,0.401,0.389,0.014,0.012,0.585,0.561,0.549,0.024,0.012,0.845,0.831,0.819,0.014,0.012,1.265,1.241,1.229,0.024,0.012,-3.52,-5.64,2.12
0.301,0.289,0.292,0.012,-0.003,0.331,0.319,0.322,0.012,-0.003,0.371,0.359,0.362,0.012,-0.003,0.401,0.389,0.392,0.012,-0.003,0.561,0.549,0.552,0.012,-0.003,0.831,0.819,0.822,0.012,-0.003,1.241,1.229,1.232,0.012,-0.003,-5.64,-3.39,-2.25
0.289,0.292,0.297,-0.003,-0.005,0.319,0.322,0.327,-0.003,-0.005,0.359,0.362,0.367,-0.003,-0.005,0.389,0.392,0.397,-0.003,-0.005,0.549,0.552,0.557,-0.003,-0.005,0.819,0.822,0.817,-0.003,0.005,1.229,1.232,1.237,-0.003,-0.005,-3.39,2.35,-5.74
0.292,0.297,0.322,-0.005,-0.025,0.322,0.327,0.362,-0.005,-0.035,0.362,0.367,0.392,-0.005,-0.025,0.392,0.397,0.422,-0.005,-0.025,0.552,0.557,0.592,-0.005,-0.035,0.822,0.817,0.852,0.005,-0.035,1.232,1.237,1.272,-0.005,-0.035,2.35,2.54,-0.19
0.297,0.322,0.283,-0.025,0.039,0.327,0.362,0.323,-0.035,0.039,0.367,0.392,0.353,-0.025,0.039,0.397,0.422,0.383,-0.025,0.039,0.557,0.592,0.553,-0.035,0.039,0.817,0.852,0.813,-0.035,0.039,1.237,1.272,1.233,-0.035,0.039,2.54,-6.31,8.85
0.322,0.283,0.27,0.039,0.013,0.362,0.323,0.31,0.039,0.013,0.392,0.353,0.35,0.039,0.003,0.422,0.383,0.37,0.039,0.013,0.592,0.553,0.54,0.039,0.013,0.852,0.813,0.8,0.039,0.013,1.272,1.233,1.22,0.039,0.013,-6.31,2.13,-8.44
0.283,0.27,0.279,0.013,-0.009,0.323,0.31,0.309,0.013,0.001,0.353,0.35,0.349,0.003,0.001,0.383,0.37,0.379,0.013,-0.009,0.553,0.54,0.539,0.013,0.001,0.813,0.8,0.799,0.013,0.001,1.233,1.22,1.219,0.013,0.001,2.13,-1.2,3.33
0.27,0.279,0.279,-0.009,0,0.31,0.309,0.299,0.001,0.01,0.35,0.349,0.339,0.001,0.01,0.37,0.379,0.369,-0.009,0.01,0.54,0.539,0.529,0.001,0.01,0.8,0.799,0.799,0.001,0,1.22,1.219,1.209,0.001,0.01,-1.2,-3.87,2.67
0.279,0.279,0.261,0,0.018,0.309,0.299,0.291,0.01,0.008,0.349,0.339,0.321,0.01,0.018,0.379,0.369,0.351,0.01,0.018,0.539,0.529,0.521,0.01,0.008,0.799,0.799,0.781,0,0.018,1.219,1.209,1.201,0.01,0.008,-3.87,11.45,-15.32
0.279,0.261,0.27,0.018,-0.009,0.299,0.291,0.3,0.008,-0.009,0.339,0.321,0.33,0.018,-0.009,0.369,0.351,0.36,0.018,-0.009,0.529,0.521,0.53,0.008,-0.009,0.799,0.781,0.79,0.018,-0.009,1.209,1.201,1.21,0.008,-0.009,11.45,2.1,9.35
0.261,0.27,0.284,-0.009,-0.014,0.291,0.3,0.314,-0.009,-0.014,0.321,0.33,0.344,-0.009,-0.014,0.351,0.36,0.374,-0.009,-0.014,0.521,0.53,0.544,-0.009,-0.014,0.781,0.79,0.804,-0.009,-0.014,1.201,1.21,1.224,-0.009,-0.014,2.1,0.33,1.77
0.27,0.284,0.269,-0.014,0.015,0.3,0.314,0.299,-0.014,0.015,0.33,0.344,0.329,-0.014,0.015,0.36,0.374,0.359,-0.014,0.015,0.53,0.544,0.529,-0.014,0.015,0.79,0.804,0.789,-0.014,0.015,1.21,1.224,1.209,-0.014,0.015,0.33,1.27,-0.94
0.284,0.269,0.267,0.015,0.002,0.314,0.299,0.297,0.015,0.002,0.344,0.329,0.327,0.015,0.002,0.374,0.359,0.357,0.015,0.002,0.544,0.529,0.527,0.015,0.002,0.804,0.789,0.787,0.015,0.002,1.224,1.209,1.207,0.015,0.002,1.27,-8.65,9.92
0.269,0.267,0.265,0.002,0.002,0.299,0.297,0.295,0.002,0.002,0.329,0.327,0.325,0.002,0.002,0.359,0.357,0.355,0.002,0.002,0.529,0.527,0.525,0.002,0.002,0.789,0.787,0.785,0.002,0.002,1.209,1.207,1.205,0.002,0.002,-8.65,-3.81,-4.84
0.267,0.265,0.251,0.002,0.014,0.297,0.295,0.281,0.002,0.014,0.327,0.325,0.311,0.002,0.014,0.357,0.355,0.341,0.002,0.014,0.527,0.525,0.511,0.002,0.014,0.787,0.785,0.771,0.002,0.014,1.207,1.205,1.191,0.002,0.014,-3.81,6.03,-9.84
0.265,0.251,0.25,0.014,0.001,0.295,0.281,0.28,0.014,0.001,0.325,0.311,0.31,0.014,0.001,0.355,0.341,0.34,0.014,0.001,0.525,0.511,0.51,0.014,0.001,0.785,0.771,0.77,0.014,0.001,1.205,1.191,1.19,0.014,0.001,6.03,-6.72,12.75
0.251,0.25,0.248,0.001,0.002,0.281,0.28,0.278,0.001,0.002,0.311,0.31,0.308,0.001,0.002,0.341,0.34,0.338,0.001,0.002,0.511,0.51,0.508,0.001,0.002,0.771,0.77,0.768,0.001,0.002,1.191,1.19,1.188,0.001,0.002,-6.72,12.45,-19.17
0.25,0.248,0.244,0.002,0.004,0.28,0.278,0.264,0.002,0.014,0.31,0.308,0.304,0.002,0.004,0.34,0.338,0.324,0.002,0.014,0.51,0.508,0.494,0.002,0.014,0.77,0.768,0.764,0.002,0.004,1.19,1.188,1.174,0.002,0.014,12.45,-3.58,16.03
0.248,0.244,0.245,0.004,-0.001,0.278,0.264,0.275,0.014,-0.011,0.308,0.304,0.305,0.004,-0.001,0.338,0.324,0.335,0.014,-0.011,0.508,0.494,0.515,0.014,-0.021,0.768,0.764,0.775,0.004,-0.011,1.188,1.174,1.195,0.014,-0.021,-3.58,-3.4,-0.18
0.244,0.245,0.237,-0.001,0.008,0.264,0.275,0.267,-0.011,0.008,0.304,0.305,0.297,-0.001,0.008,0.324,0.335,0.327,-0.011,0.008,0.494,0.515,0.507,-0.021,0.008,0.764,0.775,0.767,-0.011,0.008,1.174,1.195,1.187,-0.021,0.008,-3.4,-14.4,11
0.245,0.237,0.247,0.008,-0.01,0.275,0.267,0.277,0.008,-0.01,0.305,0.297,0.307,0.008,-0.01,0.335,0.327,0.337,0.008,-0.01,0.515,0.507,0.507,0.008,0,0.775,0.767,0.777,0.008,-0.01,1.195,1.187,1.187,0.008,0,-14.4,-6.69,-7.71
0.237,0.247,0.238,-0.01,0.009,0.267,0.277,0.268,-0.01,0.009,0.297,0.307,0.298,-0.01,0.009,0.327,0.337,0.328,-0.01,0.009,0.507,0.507,0.508,0,-0.001,0.767,0.777,0.768,-0.01,0.009,1.187,1.187,1.188,0,-0.001,-6.69,8.07,-14.76
0.247,0.238,0.23,0.009,0.008,0.277,0.268,0.26,0.009,0.008,0.307,0.298,0.29,0.009,0.008,0.337,0.328,0.32,0.009,0.008,0.507,0.508,0.49,-0.001,0.018,0.777,0.768,0.75,0.009,0.018,1.187,1.188,1.17,-0.001,0.018,8.07,19.18,-11.11
0.238,0.23,0.231,0.008,-0.001,0.268,0.26,0.261,0.008,-0.001,0.298,0.29,0.291,0.008,-0.001,0.328,0.32,0.321,0.008,-0.001,0.508,0.49,0.491,0.018,-0.001,0.768,0.75,0.761,0.018,-0.011,1.188,1.17,1.171,0.018,-0.001,19.18,5.19,13.99
0.23,0.231,0.228,-0.001,0.003,0.26,0.261,0.258,-0.001,0.003,0.29,0.291,0.288,-0.001,0.003,0.32,0.321,0.318,-0.001,0.003,0.49,0.491,0.488,-0.001,0.003,0.75,0.761,0.758,-0.011,0.003,1.17,1.171,1.168,-0.001,0.003,5.19,-0.46,5.65
0.231,0.228,0.239,0.003,-0.011,0.261,0.258,0.259,0.003,-0.001,0.291,0.288,0.299,0.003,-0.011,0.321,0.318,0.319,0.003,-0.001,0.491,0.488,0.499,0.003,-0.011,0.761,0.758,0.759,0.003,-0.001,1.171,1.168,1.179,0.003,-0.011,-0.46,2.21,-2.67
0.228,0.239,0.234,-0.011,0.005,0.258,0.259,0.264,-0.001,-0.005,0.288,0.299,0.294,-0.011,0.005,0.318,0.319,0.324,-0.001,-0.005,0.488,0.499,0.494,-0.011,0.005,0.758,0.759,0.754,-0.001,0.005,1.168,1.179,1.174,-0.011,0.005,2.21,-0.8,3.01
0.239,0.234,0.232,0.005,0.002,0.259,0.264,0.262,-0.005,0.002,0.299,0.294,0.292,0.005,0.002,0.319,0.324,0.322,-0.005,0.002,0.499,0.494,0.492,0.005,0.002,0.759,0.754,0.752,0.005,0.002,1.179,1.174,1.172,0.005,0.002,-0.8,5.16,-5.96
0.234,0.232,0.228,0.002,0.004,0.264,0.262,0.248,0.002,0.014,0.294,0.292,0.288,0.002,0.004,0.324,0.322,0.308,0.002,0.014,0.494,0.492,0.488,0.002,0.004,0.754,0.752,0.748,0.002,0.004,1.174,1.172,1.168,0.002,0.004,5.16,1.77,3.39
0.232,0.228,0.239,0.004,-0.011,0.262,0.248,0.259,0.014,-0.011,0.292,0.288,0.299,0.004,-0.011,0.322,0.308,0.319,0.014,-0.011,0.492,0.488,0.499,0.004,-0.011,0.752,0.748,0.759,0.004,-0.011,1.172,1.168,1.179,0.004,-0.011,1.77,2.47,-0.7
0.228,0.239,0.241,-0.011,-0.002,0.248,0.259,0.271,-0.011,-0.012,0.288,0.299,0.301,-0.011,-0.002,0.308,0.319,0.331,-0.011,-0.012,0.488,0.499,0.511,-0.011,-0.012,0.748,0.759,0.771,-0.011,-0.012,1.168,1.179,1.191,-0.011,-0.012,2.47,4.48,-2.01
0.239,0.241,0.247,-0.002,-0.006,0.259,0.271,0.277,-0.012,-0.006,0.299,0.301,0.307,-0.002,-0.006,0.319,0.331,0.337,-0.012,-0.006,0.499,0.511,0.507,-0.012,0.004,0.759,0.771,0.767,-0.012,0.004,1.179,1.191,1.187,-0.012,0.004,4.48,-3.73,8.21
0.241,0.247,0.253,-0.006,-0.006,0.271,0.277,0.283,-0.006,-0.006,0.301,0.307,0.313,-0.006,-0.006,0.331,0.337,0.343,-0.006,-0.006,0.511,0.507,0.523,0.004,-0.016,0.771,0.767,0.783,0.004,-0.016,1.191,1.187,1.203,0.004,-0.016,-3.73,4.27,-8
0.247,0.253,0.265,-0.006,-0.012,0.277,0.283,0.285,-0.006,-0.002,0.307,0.313,0.325,-0.006,-0.012,0.337,0.343,0.345,-0.006,-0.002,0.507,0.523,0.525,-0.016,-0.002,0.767,0.783,0.785,-0.016,-0.002,1.187,1.203,1.205,-0.016,-0.002,4.27,-5,9.27
0.253,0.265,0.251,-0.012,0.014,0.283,0.285,0.281,-0.002,0.004,0.313,0.325,0.311,-0.012,0.014,0.343,0.345,0.341,-0.002,0.004,0.523,0.525,0.511,-0.002,0.014,0.783,0.785,0.781,-0.002,0.004,1.203,1.205,1.191,-0.002,0.014,-5,5.83,-10.83
0.265,0.251,0.249,0.014,0.002,0.285,0.281,0.279,0.004,0.002,0.325,0.311,0.309,0.014,0.002,0.345,0.341,0.339,0.004,0.002,0.525,0.511,0.519,0.014,-0.008,0.785,0.781,0.779,0.004,0.002,1.205,1.191,1.199,0.014,-0.008,5.83,3.74,2.09
0.251,0.249,0.256,0.002,-0.007,0.281,0.279,0.286,0.002,-0.007,0.311,0.309,0.316,0.002,-0.007,0.341,0.339,0.346,0.002,-0.007,0.511,0.519,0.516,-0.008,0.003,0.781,0.779,0.776,0.002,0.003,1.191,1.199,1.196,-0.008,0.003,3.74,-3.53,7.27
0.249,0.256,0.246,-0.007,0.01,0.279,0.286,0.276,-0.007,0.01,0.309,0.316,0.306,-0.007,0.01,0.339,0.346,0.336,-0.007,0.01,0.519,0.516,0.516,0.003,0,0.779,0.776,0.776,0.003,0,1.199,1.196,1.196,0.003,0,-3.53,1.72,-5.25
0.256,0.246,0.251,0.01,-0.005,0.286,0.276,0.281,0.01,-0.005,0.316,0.306,0.311,0.01,-0.005,0.346,0.336,0.341,0.01,-0.005,0.516,0.516,0.521,0,-0.005,0.776,0.776,0.781,0,-0.005,1.196,1.196,1.201,0,-0.005,1.72,-8.24,9.96
0.246,0.251,0.252,-0.005,-0.001,0.276,0.281,0.282,-0.005,-0.001,0.306,0.311,0.312,-0.005,-0.001,0.336,0.341,0.342,-0.005,-0.001,0.516,0.521,0.522,-0.005,-0.001,0.776,0.781,0.782,-0.005,-0.001,1.196,1.201,1.202,-0.005,-0.001,-8.24,-4.58,-3.66
0.251,0.252,0.256,-0.001,-0.004,0.281,0.282,0.286,-0.001,-0.004,0.311,0.312,0.316,-0.001,-0.004,0.341,0.342,0.346,-0.001,-0.004,0.521,0.522,0.526,-0.001,-0.004,0.781,0.782,0.786,-0.001,-0.004,1.201,1.202,1.206,-0.001,-0.004,-4.58,1.39,-5.97
0.252,0.256,0.258,-0.004,-0.002,0.282,0.286,0.288,-0.004,-0.002,0.312,0.316,0.318,-0.004,-0.002,0.342,0.346,0.348,-0.004,-0.002,0.522,0.526,0.518,-0.004,0.008,0.782,0.786,0.788,-0.004,-0.002,1.202,1.206,1.198,-0.004,0.008,1.39,-0.35,1.74
0.256,0.258,0.257,-0.002,0.001,0.286,0.288,0.287,-0.002,0.001,0.316,0.318,0.317,-0.002,0.001,0.346,0.348,0.347,-0.002,0.001,0.526,0.518,0.527,0.008,-0.009,0.786,0.788,0.787,-0.002,0.001,1.206,1.198,1.207,0.008,-0.009,-0.35,10.03,-10.38
0.258,0.257,0.254,0.001,0.003,0.288,0.287,0.274,0.001,0.013,0.318,0.317,0.304,0.001,0.013,0.348,0.347,0.334,0.001,0.013,0.518,0.527,0.524,-0.009,0.003,0.788,0.787,0.784,0.001,0.003,1.198,1.207,1.204,-0.009,0.003,10.03,0.08,9.95
0.257,0.254,0.241,0.003,0.013,0.287,0.274,0.271,0.013,0.003,0.317,0.304,0.301,0.013,0.003,0.347,0.334,0.331,0.013,0.003,0.527,0.524,0.521,0.003,0.003,0.787,0.784,0.781,0.003,0.003,1.207,1.204,1.201,0.003,0.003,0.08,-2.59,2.67
0.254,0.241,0.247,0.013,-0.006,0.274,0.271,0.267,0.003,0.004,0.304,0.301,0.297,0.003,0.004,0.334,0.331,0.327,0.003,0.004,0.524,0.521,0.527,0.003,-0.006,0.784,0.781,0.787,0.003,-0.006,1.204,1.201,1.207,0.003,-0.006,-2.59,0.67,-3.26
0.241,0.247,0.251,-0.006,-0.004,0.271,0.267,0.271,0.004,-0.004,0.301,0.297,0.301,0.004,-0.004,0.331,0.327,0.331,0.004,-0.004,0.521,0.527,0.531,-0.006,-0.004,0.781,0.787,0.791,-0.006,-0.004,1.201,1.207,1.211,-0.006,-0.004,0.67,-4.42,5.09
0.247,0.251,0.238,-0.004,0.013,0.267,0.271,0.258,-0.004,0.013,0.297,0.301,0.288,-0.004,0.013,0.327,0.331,0.318,-0.004,0.013,0.527,0.531,0.518,-0.004,0.013,0.787,0.791,0.778,-0.004,0.013,1.207,1.211,1.198,-0.004,0.013,-4.42,-2.77,-1.65
0.251,0.238,0.246,0.013,-0.008,0.271,0.258,0.266,0.013,-0.008,0.301,0.288,0.296,0.013,-0.008,0.331,0.318,0.326,0.013,-0.008,0.531,0.518,0.516,0.013,0.002,0.791,0.778,0.786,0.013,-0.008,1.211,1.198,1.196,0.013,0.002,-2.77,3.52,-6.29
0.238,0.246,0.234,-0.008,0.012,0.258,0.266,0.264,-0.008,0.002,0.288,0.296,0.294,-0.008,0.002,0.318,0.326,0.324,-0.008,0.002,0.518,0.516,0.514,0.002,0.002,0.778,0.786,0.774,-0.008,0.012,1.198,1.196,1.194,0.002,0.002,3.52,-0.78,4.3
0.246,0.234,0.252,0.012,-0.018,0.266,0.264,0.272,0.002,-0.008,0.296,0.294,0.312,0.002,-0.018,0.326,0.324,0.332,0.002,-0.008,0.516,0.514,0.532,0.002,-0.018,0.786,0.774,0.792,0.012,-0.018,1.196,1.194,1.212,0.002,-0.018,-0.78,-0.28,-0.5
0.234,0.252,0.25,-0.018,0.002,0.264,0.272,0.27,-0.008,0.002,0.294,0.312,0.31,-0.018,0.002,0.324,0.332,0.33,-0.008,0.002,0.514,0.532,0.53,-0.018,0.002,0.774,0.792,0.79,-0.018,0.002,1.194,1.212,1.21,-0.018,0.002,-0.28,0.71,-0.99
0.252,0.25,0.25,0.002,0,0.272,0.27,0.28,0.002,-0.01,0.312,0.31,0.31,0.002,0,0.332,0.33,0.34,0.002,-0.01,0.532,0.53,0.53,0.002,0,0.792,0.79,0.79,0.002,0,1.212,1.21,1.21,0.002,0,0.71,1.6,-0.89
0.25,0.25,0.25,0,0,0.27,0.28,0.27,-0.01,0.01,0.31,0.31,0.31,0,0,0.33,0.34,0.33,-0.01,0.01,0.53,0.53,0.53,0,0,0.79,0.79,0.79,0,0,1.21,1.21,1.21,0,0,1.6,0.73,0.87
