"sid","avg_rank","AUC","B_Accuracy","RMSE","R_sq","AUC_rank","bacc_rank","RMSE_rank","time_stamp"
21500268,2.75,0.901,0.83,9.377,0.607,7,2,1,"2020-06-16 21:53:18"
21600183,8,0.897,0.825,9.461,0.6,12,10,5,"2020-06-16 21:52:31"
21600685,8.5,0.912,0.813,9.453,0.6,3,25,3,"2020-06-16 21:54:39"
21700346,9.12,0.919,0.838,9.725,0.577,1.5,1,17,"2020-06-16 22:18:47"
21600600,10.25,0.894,0.827,9.48,0.598,23,6,6,"2020-06-16 21:54:34"
21500386,11.38,0.897,0.822,9.53,0.594,12,15.5,9,"2020-06-16 22:19:47"
21600581,12.25,0.896,0.816,9.486,0.598,14.5,19.5,7.5,"2020-06-16 21:51:10"
21600171,12.62,0.892,0.827,9.46,0.6,36.5,6,4,"2020-06-16 22:19:10"
21600000,12.75,0.895,0.816,9.486,0.598,16.5,19.5,7.5,"2020-06-16 21:54:27"
21701029,13.38,0.894,0.826,9.547,0.593,23,8.5,11,"2020-06-16 22:18:12"
21801080,13.88,0.919,0.802,9.608,0.587,1.5,28,13,"2020-06-16 22:18:25"
21900841,14.5,0.896,0.822,9.669,0.582,14.5,15.5,14,"2020-06-16 21:53:45"
21600737,14.75,0.894,0.824,9.586,0.589,23,12,12,"2020-06-16 21:54:02"
21500510,16.12,0.893,0.828,9.686,0.581,31,3.5,15,"2020-06-16 22:18:36"
21400757,16.62,0.901,0.828,10.118,0.542,7,3.5,28,"2020-06-16 21:54:05"
21600014,16.62,0.899,0.5,9.424,0.603,9,53.5,2,"2020-06-16 22:19:49"
21400022,17.62,0.895,0.824,9.899,0.562,16.5,12,21,"2020-06-16 21:38:54"
21700768,19.38,0.898,0.79,9.791,0.571,10,31.5,18,"2020-06-16 21:53:54"
21701059,21.12,0.901,0.814,10.104,0.544,7,23.5,27,"2020-06-16 21:44:11"
21700253,23.5,0.897,0.751,9.935,0.559,12,38,22,"2020-06-16 21:48:29"
21801070,23.75,0.886,0.811,9.541,0.593,48,27,10,"2020-06-16 22:17:00"
21600345,24.38,0.905,0.5,9.853,0.566,4,53.5,20,"2020-06-16 22:16:05"
21500219,24.62,0.894,0.814,10.099,0.544,23,23.5,26,"2020-06-16 21:17:29"
21800546,25.25,0.894,0.824,10.202,0.535,23,12,33,"2020-06-16 22:16:16"
21700272,26.12,0.894,0.816,10.143,0.54,23,19.5,31,"2020-06-16 22:15:49"
21800254,27.12,0.892,0.812,9.958,0.557,36.5,26,23,"2020-06-16 21:42:55"
21500222,28,0.894,0.818,10.428,0.514,23,17,36,"2020-06-16 21:44:13"
21500209,28.25,0.893,0.827,10.454,0.511,31,6,38,"2020-06-16 22:19:29"
21500802,28.25,0.893,0.815,10.126,0.542,31,22,30,"2020-06-16 22:16:42"
21500176,29.25,0.894,0.823,10.476,0.509,23,14,40,"2020-06-16 21:46:40"
21600256,31.12,0.894,0.826,10.62,0.496,23,8.5,46.5,"2020-06-16 21:54:40"
21700583,32.25,0.89,0.778,10.075,0.546,44,35,25,"2020-06-16 21:51:39"
21800544,32.75,0.793,0.701,9.716,0.578,53,46,16,"2020-06-16 21:51:53"
21300700,34,0.88,0.747,9.969,0.556,49,39,24,"2020-06-16 21:45:05"
21600232,34.25,0.871,0.664,9.808,0.57,52,47,19,"2020-06-16 21:44:08"
21400083,34.62,0.893,0.816,10.514,0.506,31,19.5,44,"2020-06-16 21:54:18"
21600643,35.88,0.891,0.707,10.123,0.542,40.5,45,29,"2020-06-16 21:54:03"
21600082,36.5,0.904,0.801,12.618,0.288,5,29,56,"2020-06-16 21:37:42"
21500340,38,0.89,0.713,10.171,0.537,44,44,32,"2020-06-16 22:17:43"
21800500,38.75,0.894,0.609,10.499,0.507,23,48,42,"2020-06-16 21:35:27"
21500364,38.75,0.89,0.786,10.47,0.51,44,33,39,"2020-06-16 22:19:36"
21500343,38.88,0.893,0.745,10.499,0.507,31,40.5,42,"2020-06-16 21:49:54"
21400667,39.12,0.892,0.8,10.548,0.503,36.5,30,45,"2020-06-16 21:18:34"
21400161,39.5,0.894,0.737,10.62,0.496,23,42,46.5,"2020-06-16 21:50:38"
21800224,41.38,0.875,0.745,10.438,0.513,51,40.5,37,"2020-06-16 21:54:32"
21600711,41.38,0.892,0.386,10.276,0.528,36.5,59,35,"2020-06-16 21:54:13"
21600290,44.12,0.892,0.783,10.859,0.473,36.5,34,53,"2020-06-16 22:16:48"
21900241,45.25,0.557,0.498,10.235,0.532,56,57,34,"2020-06-16 22:16:09"
21300204,45.5,0.887,0.77,10.63,0.495,47,37,49,"2020-06-16 21:47:14"
21700009,46.12,0.89,0.79,11.024,0.457,44,31.5,54.5,"2020-06-16 21:06:04"
21201049,46.25,0.89,0.734,10.63,0.495,44,43,49,"2020-06-16 21:31:53"
21300444,48.12,0.726,0.5,10.499,0.507,55,53.5,42,"2020-06-16 21:51:22"
21600778,48.5,0.892,0.5,10.669,0.491,36.5,53.5,52,"2020-06-16 20:37:04"
21600777,50.12,0.891,0.453,10.644,0.493,40.5,58,51,"2020-06-16 20:30:45"
21800663,52.25,0.166,0.775,14.957,0,59,36,57,"2020-06-16 21:45:09"
21600056,53,0,0.5,10.63,0.495,60.5,53.5,49,"2020-06-16 22:19:17"
21700326,54.25,0.337,0.517,11.024,0.457,58,50,54.5,"2020-06-16 21:54:04"
21600796,54.88,0.876,0.5,100.016,-43.721,50,53.5,58,"2020-06-16 21:50:55"
21600508,56.5,0.501,0.521,9999,-1,57,49,60,"2020-06-16 20:36:29"
21600253,58.62,0.787,0,9999,-1,54,60.5,60,"2020-06-16 22:16:23"
21801006,60.25,0,0,9999,-1,60.5,60.5,60,"2020-06-16 21:44:36"
